Len_A,Len_B,Knuth_ms,NR_ms
1000,200,116.0000497,40.99995364
1000,250,133.9999773,41.9999985
1000,300,146.9999948,42.99998051
1000,350,156.9999405,42.99998051
1000,400,169.999958,43.99996251
1000,450,185.9999844,45.00000738
1000,500,196.999975,45.99998938
1000,550,212.0000194,45.99998938
1000,600,223.999992,46.99997138
1000,650,241.0000004,46.99997138
1000,700,255.9999819,48.00001625
1000,750,262.9999816,47.99995339
1000,800,272.0000083,48.00001625
1000,850,286.9999898,47.99995339
1050,5,62.99999775,45.00000738
1050,10,66.00000663,45.99998938
1050,15,67.99997063,39.99997163
1050,20,68.0000335,40.99995364
1050,25,70.99997951,39.99997163
1050,30,73.00000638,40.99995364
1050,35,71.99996151,39.99997163
1050,40,75.99995239,40.0000345
1050,45,80.99998813,41.0000165
1050,50,82.000033,40.99995364
1050,55,83.999997,41.0000165
1050,60,86.00002388,41.0000165
1050,65,88.99996988,41.9999985
1050,70,87.99998788,41.9999985
1050,75,88.99996988,41.9999985
1050,80,101.9999874,41.9999985
1050,85,89.99995189,40.99995364
1050,90,90.99999676,41.9999985
1050,95,91.99997876,41.9999985
1050,100,97.99999651,41.9999985
1100,5,66.00000663,47.00003425
1100,10,69.9999975,47.99995339
1100,15,71.00004237,42.99998051
1100,20,71.99996151,42.99998051
1100,25,73.99998838,41.9999985
1100,30,76.99999725,42.99998051
1100,35,76.99999725,42.99998051
1100,40,78.99996126,42.99998051
1100,45,85.00004187,42.99998051
1100,50,87.00000588,43.99996251
1100,55,87.99998788,42.99998051
1100,60,90.99999676,44.00002537
1100,65,92.99996076,44.00002537
1100,70,93.00002363,43.99996251
1100,75,94.99998763,43.99996251
1100,80,105.9999783,45.00000738
1100,85,94.99998763,43.99996251
1100,90,96.0000325,44.00002537
1100,95,96.99995164,45.00000738
1100,100,103.0000322,45.00000738
1150,5,69.0000155,50.00004312
1150,10,73.00000638,51.00002512
1150,15,74.99997038,44.00002537
1150,20,75.99995239,45.00000738
1150,25,77.99997926,45.00000738
1150,30,80.00000613,45.00000738
1150,35,79.00002412,45.00000738
1150,40,81.99997013,44.99994451
1150,45,87.00000588,45.00000738
1150,50,89.99995189,45.99998938
1150,55,90.00001475,45.99998938
1150,60,94.00000563,45.00000738
1150,65,95.99996964,45.99998938
1150,70,95.99996964,45.99998938
1150,75,97.0000145,46.99997138
1150,80,109.9999691,46.99997138
1150,85,97.99999651,45.99998938
1150,90,97.99999651,47.99995339
1150,95,99.99996051,46.99997138
1150,100,105.9999783,47.00003425
1200,5,70.99997951,52.00000713
