Len_A,Len_B,Knuth_ms,NR_ms
750,100,65.99994376,30.00008874
750,150,81.99990727,31.99992701
750,200,91.99997876,32.00005274
750,250,99.99996051,31.99992701
750,300,110.000032,33.99989102
750,350,118.0000138,33.99989102
750,400,125.9999955,33.99989102
750,450,139.999995,35.99998076
750,500,147.9999768,35.99998076
750,550,156.0000842,34.00001675
750,600,167.999994,35.99998076
750,650,180.0000295,35.99998076
750,700,186.0000473,37.99994476
750,750,189.9999753,35.99998076
800,5,45.99992651,21.99998125
800,10,49.99998026,23.99994526
800,15,50.00010598,29.99996301
800,20,51.99994426,29.99996301
800,25,57.99996201,29.99996301
800,30,57.99996201,30.00008874
800,35,57.99996201,29.99996301
800,40,57.99996201,29.99996301
800,45,57.99996201,29.99996301
800,50,62.00001575,31.99992701
800,100,69.9999975,31.99992701
800,150,87.99992502,32.00005274
800,200,96.0000325,34.00001675
800,250,104.0000143,34.00001675
800,300,115.999924,34.00001675
800,350,125.9999955,35.99998076
800,400,133.9999773,35.99998076
800,450,147.9999768,35.99998076
800,500,157.9999225,35.99998076
800,550,165.9999043,37.99994476
800,600,178.0000655,37.99994476
800,650,191.9999393,37.99994476
800,700,199.999921,38.00007049
800,750,207.9999028,40.0000345
800,800,215.9998845,37.99994476
850,5,49.99998026,23.99994526
850,10,51.99994426,25.99990927
850,15,53.99990827,32.00005274
850,20,54.000034,31.99992701
850,25,59.99992602,32.00005274
850,30,62.00001575,31.99992701
850,35,57.99996201,32.00005274
850,40,63.99997976,31.99992701
850,45,71.99996151,32.00005274
850,50,66.00006949,32.00005274
850,100,74.00005125,31.99992701
850,150,91.99997876,35.99998076
850,200,102.0000502,35.99998076
850,250,111.999996,35.99998076
850,300,119.9999778,37.99994476
850,350,133.9999773,38.00007049
850,400,142.0000847,37.99994476
850,450,155.9999585,37.99994476
850,500,167.999994,39.99990877
850,550,177.9999398,39.99990877
850,600,188.0000113,40.0000345
850,650,203.9999748,41.9999985
850,700,211.9999565,41.9999985
850,750,221.9999023,40.0000345
850,800,231.9999738,41.9999985
850,850,241.9999195,41.9999985
900,5,53.99990827,38.00007049
900,10,55.999998,40.0000345
900,15,59.99992602,34.00001675
900,20,61.99989002,34.00001675
900,25,63.99997976,33.99989102
900,30,62.00001575,34.00001675
900,35,62.00001575,34.00001675
900,40,65.99994376,34.00001675
900,45,75.99988952,35.99998076
900,50,69.9999975,34.00001675
900,100,79.99994326,35.99998076
900,150,97.99999651,37.99994476
900,200,108.000068,37.99994476
900,250,117.999888,37.99994476
900,300,132.0000133,39.99990877
900,350,141.999959,39.99990877
900,400,149.9999408,40.0000345
900,450,165.9999043,39.99990877
900,500,177.9999398,40.0000345
900,550,188.0000113,41.9999985
900,600,200.0000468,41.9999985
900,650,216.0000103,41.9999985
900,700,223.999992,41.9999985
900,750,234.0000635,43.99996251
900,800,245.9999733,41.9999985
900,850,255.999919,43.99996251
900,900,267.9999545,41.9999985
950,5,55.999998,40.0000345
950,10,59.99992602,41.9999985
950,15,63.99997976,35.99998076
950,20,63.99997976,35.99998076
950,25,67.99990777,35.99998076
950,30,65.99994376,36.00010648
950,35,65.99994376,35.99998076
950,40,71.99996151,35.99998076
950,45,79.99994326,35.99998076
950,50,73.99992552,37.99994476
950,100,83.999997,35.99998076
950,150,104.0000143,38.00007049
950,200,113.99996,38.00007049
950,250,124.0000315,39.99990877
950,300,138.000031,40.0000345
950,350,149.9999408,41.9999985
950,400,160.0000123,41.9999985
950,450,175.9999758,41.9999985
950,500,188.0000113,41.9999985
950,550,199.999921,43.99996251
950,600,213.9999205,43.99996251
950,650,231.9999738,45.99992651
950,700,239.9999555,45.99992651
950,750,250.000027,45.99992651
950,800,264.0000265,45.99992651
950,850,273.9999723,45.99992651
950,900,289.9999358,43.99996251
950,950,296.0000793,45.99992651
1000,5,57.99996201,41.9999985
1000,10,62.00001575,43.99996251
1000,15,67.99990777,37.99994476
1000,20,67.99990777,37.99994476
1000,25,71.99996151,38.00007049
1000,30,67.99990777,37.99994476
1000,35,69.9999975,37.99994476
1000,40,74.00005125,38.00007049
1000,45,83.999997,38.00007049
1000,50,77.99997926,39.99990877
1000,100,87.99992502,40.0000345
1000,150,109.9999063,41.9999985
1000,200,122.0000675,41.9999985
1000,250,132.0000133,41.9999985
1000,300,145.999887,41.9999985
1000,350,160.0000123,43.99996251
1000,400,169.999958,43.99996251
1000,450,187.9998855,45.99992651
1000,500,198.0000827,45.99992651
1000,550,211.9999565,46.00005224
1000,600,227.99992,45.99992651
1000,650,244.0000093,48.00001625
1000,700,253.999955,48.00001625
1000,750,264.0000265,48.00001625
1000,800,277.9999003,48.00001625
1000,850,289.9999358,48.00001625
1000,900,306.000025,48.00001625
1000,950,315.9999708,48.00001625
1000,1000,335.999988,49.99998026
1050,5,62.00001575,45.99992651
1050,10,65.99994376,45.99992651
1050,15,69.9999975,39.99990877
1050,20,71.99996151,39.99990877
1050,25,74.00005125,40.0000345
1050,30,73.99992552,39.99990877
1050,35,71.99996151,40.0000345
1050,40,77.99997926,40.0000345
1050,45,87.99992502,41.9999985
1100,5,65.99994376,48.00001625
1100,10,68.0000335,48.00001625
1100,15,74.00005125,41.9999985
1100,20,74.00005125,41.9999985
1100,25,77.99997926,41.9999985
1100,30,76.00001525,43.99996251
1100,35,75.99988952,41.9999985
1100,40,82.000033,41.9999985
1100,45,91.99997876,43.99996251
1150,5,67.99990777,48.00001625
1150,10,71.99996151,49.99998026
1150,15,77.99997926,44.00008824
1150,20,79.99994326,45.99992651
1150,25,83.999997,45.99992651
1150,30,80.00006899,45.99992651
1150,35,79.99994326,45.99992651
1150,40,86.00008674,43.99996251
1150,45,95.99990677,45.99992651
1200,5,71.99996151,51.99994426
1200,10,76.00001525,51.99994426
1200,15,79.99994326,45.99992651
1200,20,81.99990727,45.99992651
1200,25,85.99996101,48.00001625
1200,30,83.999997,47.99989052
1200,35,83.999997,47.99989052
1200,40,90.00001475,48.00001625
1200,45,99.99996051,47.99989052
1250,5,76.00001525,53.99990827
1250,10,78.00010499,54.000034
1250,15,83.999997,48.00001625
1250,20,85.99996101,49.99998026
1250,25,89.99988902,49.99998026
1250,30,86.00008674,49.99998026
1250,35,87.99992502,49.99998026
1250,40,93.99994276,49.99998026
1250,45,104.0000143,49.99998026
1300,5,77.99997926,57.99996201
1300,10,81.99990727,57.99996201
1300,15,87.99992502,52.00006999
1300,20,90.00001475,53.99990827
1300,25,93.99994276,53.99990827
1300,30,91.99997876,53.99990827
1300,35,90.00001475,51.99994426
1300,40,97.99999651,53.99990827
1300,45,110.000032,53.99990827
1350,5,79.99994326,62.00001575
1350,10,83.999997,61.99989002
1350,15,91.99997876,81.99990727
1350,20,93.99994276,79.99994326
1350,25,95.99990677,80.00006899
1350,30,93.99994276,81.99990727
1350,35,93.99994276,82.000033
1350,40,99.99996051,82.000033
1350,45,113.99996,82.000033
1400,5,83.999997,62.00001575
1400,10,87.99992502,62.00001575
1400,15,95.99990677,81.99990727
1400,20,95.99990677,83.999997
1400,25,99.99996051,83.999997
1400,30,97.99999651,83.999997
1400,35,97.99999651,83.999997
1400,40,105.9999783,83.999997
1400,45,117.999888,83.999997
1450,5,87.99992502,63.99997976
1450,10,91.99997876,67.99990777
1450,15,99.99996051,87.99992502
1450,20,101.9999245,87.99992502
1450,25,105.9999783,88.00005075
1450,30,104.0000143,90.00001475
1450,35,104.0000143,87.99992502
1450,40,111.999996,90.00001475
1450,45,127.9999595,90.00001475
1500,5,93.99994276,72.00008724
1500,10,97.99999651,73.99992552
1500,15,105.9999783,91.99997876
1500,20,104.0000143,90.00001475
1500,25,108.000068,90.00001475
1500,30,104.0000143,89.99988902
1500,35,105.9999783,89.99988902
1500,40,113.99996,90.00001475
1500,45,125.9999955,91.99997876
1550,5,93.99994276,71.99996151
1550,10,96.0000325,71.99996151
1550,15,105.9999783,91.99997876
1550,20,105.9999783,91.99997876
1550,25,110.000032,91.99997876
1550,30,107.9999423,93.99994276
1550,35,108.000068,93.99994276
1550,40,115.999924,93.99994276
1550,45,129.9999235,91.99997876
1600,5,96.0000325,76.00001525
1600,10,99.99996051,75.99988952
1600,15,107.9999423,93.99994276
1600,20,107.9999423,96.0000325
1600,25,113.99996,95.99990677
1600,30,111.999996,97.99999651
1600,35,109.9999063,96.0000325
1600,40,119.9999778,95.99990677
1600,45,133.9999773,96.0000325
1650,5,97.99999651,77.99997926
1650,10,103.9998885,77.99997926
1650,15,111.999996,99.99996051
1650,20,113.99996,99.99996051
1650,25,118.0000138,97.99999651
1650,30,115.999924,97.99999651
1650,35,115.999924,97.99999651
1650,40,123.9999058,97.99999651
1650,45,138.000031,99.99996051
1700,5,101.9999245,79.99994326
1700,10,107.9999423,81.99990727
1700,15,118.0000138,101.9999245
1700,20,116.0000497,101.9999245
1700,25,121.9999418,101.9999245
1700,30,118.0000138,102.0000502
1700,35,118.0000138,100.0000862
1700,40,127.9999595,104.0000143
1700,45,141.999959,102.0000502
1750,5,105.9999783,85.99996101
1750,10,111.999996,85.99996101
1750,15,119.9999778,104.0000143
1750,20,120.0001035,105.9999783
1750,25,123.9999058,105.9999783
1750,30,121.9999418,107.9999423
1750,35,121.9999418,106.000104
1750,40,132.0000133,105.9999783
1750,45,147.9999768,105.9999783
1800,5,107.9999423,131.9998875
1800,10,111.999996,135.9999413
1800,15,123.9999058,108.000068
1800,20,124.0000315,110.000032
1800,25,127.9999595,109.9999063
1800,30,125.9999955,110.000032
1800,35,125.9999955,110.000032
1800,40,135.9999413,110.000032
1800,45,151.9999048,109.9999063
1850,5,111.999996,133.9999773
1850,10,115.999924,137.9999053
1850,15,125.9999955,111.999996
1850,20,128.0000852,113.99996
1850,25,133.9999773,111.999996
1850,30,128.0000852,115.999924
1850,35,129.9999235,111.999996
1850,40,141.999959,113.99996
1850,45,155.9999585,115.999924
1900,5,113.99996,139.999995
1900,10,119.9999778,141.999959
1900,15,130.0000492,116.0000497
1900,20,131.9998875,116.0000497
1900,25,135.9999413,118.0000138
1900,30,133.9999773,119.9999778
1900,35,132.0000133,116.0000497
1900,40,143.999923,116.0000497
1900,45,160.0000123,118.0000138
1950,5,118.0000138,146.0000128
1950,10,123.9999058,143.999923
1950,15,132.0000133,122.0000675
1950,20,135.9999413,121.9999418
1950,25,139.999995,119.9999778
1950,30,136.000067,121.9999418
1950,35,137.9999053,122.0000675
1950,40,147.9999768,119.9999778
1950,45,163.9999403,119.9999778
2000,5,119.9999778,147.9999768
2000,10,125.9999955,147.9999768
2000,15,135.9999413,124.0000315
2000,20,137.9999053,124.0000315
2000,25,143.999923,121.9999418
2000,30,139.999995,124.0000315
2000,35,139.999995,124.0000315
2000,40,151.9999048,125.9999955
2000,45,169.999958,125.9999955
